,params,mean roc auc
0,"{'learning_rate': 0.1, 'max_features': 1, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.5091403596145854
1,"{'learning_rate': 0.1, 'max_features': 1, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5106635244465372
2,"{'learning_rate': 0.1, 'max_features': 1, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.5109173718399783
3,"{'learning_rate': 0.1, 'max_features': 1, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.5109173717375977
4,"{'learning_rate': 0.1, 'max_features': 1, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5115527356301646
5,"{'learning_rate': 0.1, 'max_features': 2, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.5110450010171533
6,"{'learning_rate': 0.1, 'max_features': 2, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5109180973102825
7,"{'learning_rate': 0.1, 'max_features': 2, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.5102833378227312
8,"{'learning_rate': 0.1, 'max_features': 2, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.5113623401157538
9,"{'learning_rate': 0.1, 'max_features': 2, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5120607527117856
10,"{'learning_rate': 0.1, 'max_features': 3, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.509394569640798
11,"{'learning_rate': 0.1, 'max_features': 3, 'min_weight_fraction_leaf': 0.02, 'random_state': 0}",0.5083788979055655
12,"{'learning_rate': 0.1, 'max_features': 3, 'min_weight_fraction_leaf': 0.03, 'random_state': 0}",0.5102198458104295
13,"{'learning_rate': 0.1, 'max_features': 3, 'min_weight_fraction_leaf': 0.04, 'random_state': 0}",0.5104734111447842
14,"{'learning_rate': 0.1, 'max_features': 3, 'min_weight_fraction_leaf': 0.05, 'random_state': 0}",0.5129498836800612
15,"{'learning_rate': 1, 'max_features': 1, 'min_weight_fraction_leaf': 0.01, 'random_state': 0}",0.5087590845805618
